paragraph,human generated title
"this component proved to be more challenging at implementation stage and several design issues were addressed. the government of punjab created a working group in 2008 to streamline institutional reforms and address the challenges. the project established (i) an area water board at the main lbdc level, (ii) 53 farmer organizations at the distributary level, and (iii) 3,779 khal panchayat at the water course level. with the punjab irrigation and drainage authority (pida) at the provincial level, this completed the four-tier irrigation institution structure in the project command area. 14 the number of farmer organizations was decreased from about 70 at appraisal to 53 based on reassessment of hydrologic boundaries and the size of distributary canals. operationalization of 53 farmer organizations was completed in 2012, followed by the signing of irrigation management transfer agreements during 2012–2015. this was a result of an extensive social mobilization program, including awareness campaigns and elections. more than 16,000 familiarizations, rapport building activities, and consultations were conducted. ​",aligning institutional and operational changes with the overall reform environment enhances the success potential of irrigation modernization schemes.
,aligning institutional and operational changes with the overall reform environment enhances the success potential of irrigation modernization schemes.
"works were divided into 10 packages: two pilot packages, two balloki barrage packages, three lbdc packages, and three distribution system packages—one in each of okara, sahiwal, and khanewal. later, the two balloki barrage packages were merged in one package and the khanewal distribution system was split into two packages. the average award time taken for civil works was about 21 months (appendix 8, table a8.5). the performance of contractors, and design and construction supervision consultants remained generally weak in construction management and contract administration. all the contracts, except for two, exceeded their contract period. component 3 consultants mostly completed their assignments at the scheduled time. the pmu support consultants provided much-needed support during the last 3 years of the project when the pmu could not refill vacant positions and remained preoccupied with preparing new subprojects during the transition to the pmo canals.",early involvement of the relevant executing agency (ea) units in project implementation increases ownership and facilitates smooth takeover of the operational phase.
"the design was overambitious given the fragile and recently post-conflict environment in timor-leste when the project was prepared, the institutional capacity of the key agencies, dnsa and directorate of the ministry of public works (mpw), the behavioral change required of consumers, and the timelines required for procurement and implementation.6 dnsa’s institutional capacity was assessed during project preparation, with measures identified to improve planning, monitoring, operating systems, and service delivery. the support to be provided during the technical assistance for the dili water supply performance improvement aimed to enhance dnsa’s capacity.",a thorough assessment of the enabling environment and government capacities must be undertaken before embarking on development projects in fragile and post-conflict countries
"the overall project is rated less than successful. while the project sector loan modality was appropriate and responsive, the project design did not reflect the institutional capacity and operating environment and was overoptimistic in what could be achieved in outputs, outcomes, and impact with a pilot project. the government’s commitment to institutional reform and provision of further investment for the water supply system, and for the operating costs of the system did not eventuate, as indicated by the non-compliance with covenants. the performance of the borrower, as well as the executing agency are rated less than satisfactory, while adb’s performance in project implementation and administration is rated satisfactory.",a thorough assessment of the enabling environment and government capacities must be undertaken before embarking on development projects in fragile and post-conflict countries
"while the project design was relevant in focusing on the key underlying causes of the poor water supply in dili, it was overambitious in terms of the required scope and necessary integration of activities, and timelines to achieve the planned outputs and outcomes in a fragile and recently conflict-affected country (paras. 7, 8, and 9). for this reason, the project is rated less than relevant. given the state of the water system prior to the project, the limited capacity of the relevant institutions, and consumers who treated water as a free commodity, the project had to address core institutional capacity, community awareness, and behavioral change, combined with infrastructure investment and development of sustainable systems. as such, the range of interventions in the design should have been more focused and integrated, with a more limited scope (in terms of coverage given the level of funds). investment at a zonal level rather than at the sub-zone level, and a stronger emphasis on the supporting utility capacity and institutional reform, and the streamlining of payment and collection systems would have had a greater potential as a pilot project to demonstrate best practice that could have been replicated subject to additional funding.","a flexible approach to financing operating costs, operation and maintenance (o&m) contracts, and the provision of the required national expertise may need to be incorporated in post-conflict water supply improvement projects."
"these six covenants were realistic in terms of the requirements to develop a sustainable institution that provides reliable services. the timeline required for some actions could have been extended to strengthen ownership and effectiveness. while the non-compliance was raised with the government and noted in review mission reports, limited remedial action was taken by the government to rectify the shortfall.",a well-defined partnership agreement with the timor-leste government is necessary to achieve water sector policy reforms and build adequate national capacity for developing sustainable safe water supply systems.
"the project faced significant implementation delays with six extensions of the closing date. the phasing of the key consulting contracts and civil works contracts was poor due to procurement, recruitment delays, and mobilization issues, which resulted in training being provided before it could be used, and loss of trained individuals prior to the project activity being implemented. the small size of the pmu and the non-implementation of the performance.","a series of short extensions, which can create unnecessary administrative burdens, must be avoided."
"similarly, the restructuring of the dnsa into an independent financial entity did not occur. the demand management task force, leak detection and caretakers were not in place, so the ta was unable to provide the planned training. the pic provided the training later during the project. the ta design was based on three key conditions that did not occur: (i) the mpw would allocate sufficient resources to the dnsa, (ii) the dnsa would be restructured to become a commercially focused water business, and (iii) the ta and the project would be implemented concurrently. these shortfalls reduced the ta output achievements and expected outcomes.","a series of short extensions, which can create unnecessary administrative burdens, must be avoided."
"the project faced significant implementation delays with six extensions of the closing date. the phasing of the key consulting contracts and civil works contracts was poor due to procurement, recruitment delays, and mobilization issues, which resulted in training being provided before it could be used, and loss of trained individuals prior to the project activity being implemented. the small size of the pmu and the non-implementation of the performance",coordination and phasing of linked activities is necessary for projects to fully deliver their intended benefits.
"the sector project modality was the appropriate approach for timor-leste, given the government’s institutional, policy, and investment framework. it provided the opportunity to prioritize the investments using sub-zone (project) selection criteria based on technical, financial, and social criteria. the project design addressed key causes of poor and inadequate water supply and service provision, and the project’s design monitoring framework (dmf) included relevant target indicators. the project outcome and output targets and achievements, as detailed in the project’s report and recommendation of the president, are provided in the dmf in appendix 1.5 the project preparation and fact-finding involved stakeholder participation and consultation. the dmf included one gender-based impact indicator on benefits to women. given it was an urban water supply project that would have a significant impact on women, additional indicators should have been considered covering women as customers and as participants in project activities.",benefits for women should be distinctively planned and pursued in all water supply projects.
"the customer satisfaction, as measured by the number of complaints per thousand customers, improved during the project implementation. however, the number of complaints may not be an accurate measure of performance, as it is a manual system that involves a very lengthy response time, and customers are aware they are unlikely to get a reply and action to a malfunctioning water problem and on this basis take no action. no data or survey collection was undertaken on the benefit to women from the improved water supply services, so this impact indicator could not be measured. ​",benefits for women should be distinctively planned and pursued in all water supply projects.
"at appraisal, the envisaged project would be implemented over 5 years, with a 31 december 2014 completion date. advance contracting enabled dor to recruit the detailed design consultant to start in late 2009; the contract agreement was executed on 24 february 2010. the detailed design consultant completed the design work on schedule in september 2010. the construction supervision consultant—selected in may 2011, with contract signing on 20 may 2011—mobilized immediately and completed the work in june 2015.","contract and project durations and cost estimates for road projects in bhutan should consider the steepness of terrain, whether the civil works are greenfield or brownfield, and impacts of the monsoon season."
"the civil works for the project included seven contract packages: five for national highways and two for feeder roads. the procurement of civil works contracts began in october 2010 as planned. the procurement process took longer than the dor anticipated, requiring ministerial level sign-off and formation of a ministerial tender committee with five to six members, including the secretary. the contracts for all seven packages were signed between july and november 2011; contracts for three packages started in october and november 2011, and the remaining four started in early 2012. the civil works started almost 1 year later than planned, which further delayed the progress of civil works during implementation. all contracts required the works to be completed within 32 months, regardless of contract value, location, and geotechnical and topographical conditions. this time schedule was not achievable.","contract and project durations and cost estimates for road projects in bhutan should consider the steepness of terrain, whether the civil works are greenfield or brownfield, and impacts of the monsoon season."
"contract periods for all civil works were extended by 92–410 days, largely because of physical hindrances, primarily heavy rainfall during monsoon seasons, which ceased all activities on the project for 3–4 months. there were also delays in obtaining permits for machinery import. because of the extent of the delays, the civil works packages could not be completed by the original grant closing date. adb approved extending the grant closing date by 1 year. the extension enabled the dor to fully complete the works and achieve the intended project objectives. the civil works for two of the seven contracts were completed in may and october 2014, while the remainder were completed in may, july, august, and october 2015. all civil works contracts were completed by the extended grant closing date of 30 june 2016. the actual implementation schedule compared to the original at appraisal is in appendix 5 and a chronology of major events is in appendix 6","contract and project durations and cost estimates for road projects in bhutan should consider the steepness of terrain, whether the civil works are greenfield or brownfield, and impacts of the monsoon season."
,"contract and project durations and cost estimates for road projects in bhutan should consider the steepness of terrain, whether the civil works are greenfield or brownfield, and impacts of the monsoon season."
"adb’s project completion mission observed routine maintenance in place but also locations with substantial potholes, damaged drainage structures, and areas of pavement failure. the roads were damaged by landslides and/or heavy trucks. portions of the manitar–raidak road had severe damage due to landslides, which render the road impassable during monsoon season. in a dor investigation in 2017, engineers visited the panbang–nganglam road and checked the road design, construction quality, and geotechnical conditions of the project road. the investigating team concluded that: (i) the road damage was mainly caused by overloaded trucks carrying cement from nganglam to hydropower project sites; (ii) the detailed design did not consider such heavily loaded vehicles transporting cement; (iii) geological conditions cause the pavement to remain wet all year round; and (iv) no construction defects were detected. the hydropower project has now concluded and the dor regional office plans to strengthen and rehabilitate the pavement. a new design has been prepared and the project is planned for implementation next year, subject to budget approvals.",road maintenance should be incorporated in future road projects financed by the asian development bank (adb) in bhutan.
"the project roads must be maintained to sustain their economic life. currently, the dor has nine field divisions responsible for maintaining national highways and feeder roads. technical staff inspect the road conditions regularly, create an annual road maintenance plan, and manage maintenance activities. the central government allocates funds for periodic maintenance and large rehabilitation, according to the plans proposed by each field division and according to the national norm, increased from nu570 million in the government’s tenth five year plan, 2008– 2013 to nu1,422 million in the eleventh five year plan, 2013–2018. for primary national highways, the budget for routine maintenance is currently set at nu115,000 per km and for secondary national highway nu109,000 per km, and nu44,000 per km for dzongkhag and feeder roads. this amount is fixed for the next 3 years. a separate monsoon restoration budget provides additional funds to repair road damage, clear landslides and reconstruct critical structures.",road maintenance should be incorporated in future road projects financed by the asian development bank (adb) in bhutan.
"though some periodic maintenance was delayed because of budget limitations, the government is committed to allocating the necessary budget to the extent possible to avoid faster deterioration of the roads. road maintenance is currently completed manually, which can be a challenge because of a labor shortage. the dor is gradually moving towards mechanizing road maintenance: it plans to purchase road profile measuring equipment and is also considering centralizing labor and equipment in road maintenance centers. they are currently at the concept stage, and dor plans to pilot two such centers. the ta established a road asset management system, and the dor further expanded this system after project completion (appendix 8). the dor intends to use the road asset management system to analyze budgets and allocate resources for road maintenance.",road maintenance should be incorporated in future road projects financed by the asian development bank (adb) in bhutan.
,road maintenance should be incorporated in future road projects financed by the asian development bank (adb) in bhutan.
"oversized culverts and wildlife crossings such as the khurul west underpass on the raidak–lhamoizingkha road should be improved to ensure that target species are able to cross safely, minimizing the barrier effect of the road and human–wildlife conflicts. simpler, smaller signage located further away from the actual elephant crossing points should be installed on panbang–nganglam road.",the environmental impacts and climate change resilience of roads constructed with adb financing must be continually monitored and followed up.
"at appraisal, while the design was appropriate to achieve the expected outcomes, it could have considered incorporating 24/7 water supply. the mff modality addressed the state’s medium- and long-term requirements and facilitated a long-term partnership for socioeconomic development between adb and the gor. the sector loan approach for project 2 was appropriate under the mff, as it reflected the gor’s capacity to address large-scale development challenges effectively in the urban sector, besides offering flexibility in subproject selection and timelines for implementation.",incorporation of 24x7 water supply could have enhanced the project design.  
,incorporation of 24x7 water supply could have enhanced the project design.  
"while the results chain for the design and monitoring framework (dmf) of project 2 was logical, it had weaknesses in its numeric targeting, its consistency with the facility dmf, and its classification of indicators. the assessment of impact achievements (increase in the population served) was constrained by the nonavailability of baseline data for impact indicators in the dmf. the population of the 12 ulbs under project 2 totaled 1.2 million while the population of the 15 ulbs under the mff was 1.6 million, according to the census.10 therefore, the target of 1.5 million beneficiaries in the project 2 dmf was incorrect and inconsistent with the facility dmf. accordingly, the beneficiaries of the water supply interventions totaled 0.9 million in 10 planned ulbs (90% of the population) and the beneficiaries of the wastewater interventions totaled 0.7 million in 7 ulbs (100% of the population). however, while sewage treatment facilities will benefit 100% of the population, the dmf outputs for household sewer connections were provided using government grants and limited to priority areas covering a population of 0.19 million in seven ulbs (para. 11). as project 2 was a sector loan, the dmf described the range of interventions in lieu of setting numerical targets. unlike the dmf of the mff, the dmf for project 2 did not cover the beneficiaries of social infrastructure. while the objective of the mff and its projects are the same in terms of impacts, sector outcomes, and outputs, some impact indicators and multiple outcome indicators vary between the mff and project 2. moreover, some outcome indicators reflect outputs rather than outcome, while others reflect project selection requirements as an outcome instead of coverage as target.",synchronizing sewer network improvements and household property connections would have enabled the realization of the project benefits in a timely manner. 
"a sewerage system—including outfall, trunk sewers, and tertiary networks— totaling 506.3 km was laid in priority areas of eight ulbs compared with the target of seven ulbs. 12 sewerage interventions were not undertaken in sikar because of the nonavailability of land for stp, and sewer networks were instead undertaken in alwar and jhalawar (para. 7), which already had stps. the treatment capacities of stps, estimated at 68 mld for seven ulbs in the dmf, were refined to 54 mld in six ulbs (excluding sikar’s 10 mld stp) during the detailed engineering design and fully achieved as designed. household connections in priority areas were provided in all the ulbs using government grants, not funded under the mff based on the subproject selection criteria. vehicle mounted sewer-suction-cum-jetting machines and sewer-jetting machines were also provided to 12 ulbs.",synchronizing sewer network improvements and household property connections would have enabled the realization of the project benefits in a timely manner. 
"the overall performance of the borrower and the executing agency is rated satisfactory. the borrower, represented by the government of india’s department of economic affairs, provided timely guidance and decisions to gor on the project and undertook regular tripartite review meetings with adb, the gor, and the ipmu, which helped identify bottlenecks, resolve issues, and monitor progress. the gor provided strong support to the ipmu, including timely counterpart funding (including funds to complete spillover works after loan closure) and adequate human resources throughout the project period. however, the financial management performance of the borrower and the executing agency is rated less than satisfactory, as audit shortcomings persisted over the years and separate project accounts were not maintained by the ipmu (paras. 25 and 26). the ipmu established project implementation procedures for planning and implementation early in the project cycle. it also established effective monitoring and implementing mechanisms through ipius in each project ulb, headed by executive engineers. this helped in interagency coordination, monitoring, and progress reporting from the field, and strengthened the information flow to adb and the project ulbs. the ipmu exhibited strong leadership with the placement of senior officers from the state government in its management, which helped in change management—critical for the implementation of reforms. the contract periods estimated by the ipmu for water supply and sewerage contracts were ambitious and led to contractors exceeding implementation milestones (paras. 19 and 22). although the ipmu spent considerable time and effort on managing arbitration and other legal issues in the absence of techno-legal personnel, the ipmu was effective in managing the overlapping policy, regulatory, technical, administrative, and financial management aspects of project implementation, including safeguard compliance.","implementing agencies should have dedicated cadres, instead of staff on deputation.  "
"a total of $117.2 million (96% of the revised loan amount of $122.0 million) was disbursed by project completion. loan disbursements were on track from the first disbursement on 8 december 2009, evenly spread out (11% to 19% per year) from 2010 to 2015, and reached 68% of the revised loan amount by the end of the original loan closing date (88% by 2015). this included an imprest advance of $15.00 million, which the gor availed of in 2010. following the gor’s decision to make payments through treasury procedures, the imprest account was liquidated against claims from the third quarter of 2012 to the first quarter of 2013. contract award and disbursement achievements fell below 90% of projections from july 2011 to june 2012, resulting in a potential problem project rating for the period. appendix 4 and appendix 5 provides the annual and cumulative disbursements and contract awards of the loan proceeds. the statement of expenditure (soe) procedure allowed up to $100,000 equivalent per individual payment, which could have been enhanced considering the capacity of the ipmu.",the statement of expenditure (soe) threshold should consider the institutional capacity of implementing agencies (ias) and size and nature of contracts
"the estimated project cost at appraisal was $219.00 million, comprising an adb loan of $150.00 million and gor contribution of $69.00 million. at completion, the actual project cost reduced to $184.19 million, without curtailment of the project outcomes or outputs, comprising an adb loan of $117.26 million and gor contribution of $66.93 million. financing charges decreased by $12.56 million because of lower interest rates. loan savings resulting from the appreciation of the united states dollar and overestimation of contingencies were leveraged to increase the allocation for civil works from $94.10 million to $103.27 million for expanding coverage, adding new subprojects and ulbs (para. 7), and meeting marginal cost overruns in a few contracts. the extended implementation period (36 months) increased the cost of incremental administration by $1.19 million. costs decreased by (i) $3.96 million for swm equipment because of the deferment of procurement to project 3, (ii) $2.67 million for resettlement because of the avoidance of social impacts and use of counterpart funds, (iii) $2.12 million for capacity and institutional development as state training resources were used, and (iv) $1.16 million for preparation and implementation assistance. a total of $28.00 million was cancelled and $4.74 million remained unused at loan closing.13 the ratio of the adb loan to gor contribution changed from 70:30 at appraisal to 64:36 at completion. appendix 2 details the project cost at appraisal and actual. appendix 3 provides the project cost by financier.",optimal contingency allocations minimize the likelihood or partial loan cancellations or closing extensions.  
"while the results chain for the design and monitoring framework (dmf) of project 2 was logical, it had weaknesses in its numeric targeting, its consistency with the facility dmf, and its classification of indicators. the assessment of impact achievements (increase in the population served) was constrained by the nonavailability of baseline data for impact indicators in the dmf. the population of the 12 ulbs under project 2 totaled 1.2 million while the population of the 15 ulbs under the mff was 1.6 million, according to the census.10 therefore, the target of 1.5 million beneficiaries in the project 2 dmf was incorrect and inconsistent with the facility dmf. accordingly, the beneficiaries of the water supply interventions totaled 0.9 million in 10 planned ulbs (90% of the population) and the beneficiaries of the wastewater interventions totaled 0.7 million in 7 ulbs (100% of the population). however, while sewage treatment facilities will benefit 100% of the population, the dmf outputs for household sewer connections were provided using government grants and limited to priority areas covering a population of 0.19 million in seven ulbs (para. 11). as project 2 was a sector loan, the dmf described the range of interventions in lieu of setting numerical targets. unlike the dmf of the mff, the dmf for project 2 did not cover the beneficiaries of social infrastructure. while the objective of the mff and its projects are the same in terms of impacts, sector outcomes, and outputs, some impact indicators and multiple outcome indicators vary between the mff and project 2. moreover, some outcome indicators reflect outputs rather than outcome, while others reflect project selection requirements as an outcome instead of coverage as target.",inconsistencies in the design and monitoring frameworks (dmfs) of a multitranche financing facility (mff) and its component projects hinder a reliable assessment of end-of-project accomplishments and contributions to the mff results.  
"the original loan closing date of 30 june 2014 was extended twice by 1 year each, followed by another two extensions of 6 months each (i) to optimize loan utilization by awarding additional contracts (in 2013 and 2014) to use the additional funds available as a result of the appreciation of the united states dollar, (ii) to enable the completion of works, and (iii) to complete re-tendered and slow-moving contracts. the project had no significant start-up delays, which reflects the state’s preparedness at appraisal, as requisite lands were identified for stps (except sikar [paras. 7 and 11]) and other facilities, permission was obtained from the concerned authorities for bridges over river, and detailed project reports were prepared. ipmu’s capacity for implementation and interdepartmental coordination led to the smooth execution of utility shifting and timely issuance of necessary permissions and clearances. however, contract duration affixed for water supply and wastewater works was ambitious considering that works were in existing unplanned towns and needed to be executed without undue disruption to service delivery and traffic movement or public inconvenience (para. 22). by loan closure on 30 june 2017, only six of the 57 contracts were ongoing and these were completed using gor funds (paras. 22 and 38). all contracts were completed at the time of the project completion report mission (appendix 6). ​ the overall performance of the borrower and the executing agency is rated satisfactory. the borrower, represented by the government of india’s department of economic affairs, provided timely guidance and decisions to gor on the project and undertook regular tripartite review meetings with adb, the gor, and the ipmu, which helped identify bottlenecks, resolve issues, and monitor progress. the gor provided strong support to the ipmu, including timely counterpart funding (including funds to complete spillover works after loan closure) and adequate human resources throughout the project period. however, the financial management performance of the borrower and the executing agency is rated less than satisfactory, as audit shortcomings persisted over the years and separate project accounts were not maintained by the ipmu (paras. 25 and 26). the ipmu established project implementation procedures for planning and implementation early in the project cycle. it also established effective monitoring and implementing mechanisms through ipius in each project ulb, headed by executive engineers. this helped in interagency coordination, monitoring, and progress reporting from the field, and strengthened the information flow to adb and the project ulbs. the ipmu exhibited strong leadership with the placement of senior officers from the state government in its management, which helped in change management—critical for the implementation of reforms. the contract periods estimated by the ipmu for water supply and sewerage contracts were ambitious and led to contractors exceeding implementation milestones (paras. 19 and 22). although the ipmu spent considerable time and effort on managing arbitration and other legal issues in the absence of techno-legal personnel, the ipmu was effective in managing the overlapping policy, regulatory, technical, administrative, and financial management aspects of project implementation, including safeguard compliance.",contract periods must be realistic.  
"the overall performance of the consultants is rated generally satisfactory. the performance of the ipmc and dscs was satisfactory. the performance of the dscs was initially hampered by slow internal mobilization and frequent replacement of team members, leading to some delays in the planning, design, and implementation of the project. close monitoring of dscs and the removal of a few nonperforming dsc personnel by the ipmu led to optimal utilization of the dsc services and improved delivery of outputs by dscs. the performance of the ippms consulting firm engaged to prepare baseline, midterm, and end-term project performance monitoring reports was less than satisfactory and had to be terminated. following the termination, the performance of the consulting firm appointed to complete the remaining tasks was rated satisfactory. overall, the performance of the contractors is rated satisfactory. however, the ambitious contract periods exacerbated contractors’ poor mobilization of resources, resulting in six water supply and sewerage contracts (10% of the total contracts) being extended beyond the original contract period (paras. 19 and 38). the performance of the suppliers is rated satisfactory.",end-to-end e-procurement and contract management will improve project efficiency and organizational effectiveness. 
"""lessons from the first adb loan in rajasthan, the rajasthan urban infrastructure development project, the previous tranche under the mff, and other adb projects in india were applied and areas of focus were delineated. the availability of all the required land was ensured before project commencement (except sikar [paras. 11 and 19]), the investment program implementation units (ipius) were established in the ulbs of project 2, and project consultants were mobilized before loan signing.8 ulbs and subprojects were identified according to the subproject selection criteria of the mff. all sample subprojects appraised during the processing of project 2 were implemented. loan funds were reallocated in 2011, based on a minor change in scope that enhanced the allocation for urban infrastructure improvements, allowing for eight additional infrastructure works to be implemented, leading to increased coverage of urban infrastructure services, and adding new subprojects in two ulbs (alwar and jhalawar)—thus enhancing the project’s relevance (para. 28).",ensuring project readiness prior to contract awarding fosters the efficient and effective implementation of projects.   
"the investment program management consultant (ipmc) and three design and supervision consultants (dscs) supported program implementation by preparing the design documents, managing the bidding process, and supervising the construction works. the ipmc provided technical support to the investment program management unit (ipmu) in managing contracts, monitoring safeguards, and preparing progress reports. the 15 program ulbs were divided into three groups of five program ulbs, based on their geographical location, and a group was allotted to each of the three dscs. the community action and participation program (capp) consultants delivered information, education, and communication program; assisted in implementing the icdp; and contributed to the improved acceptability of sewerage services by the residents. social acceptance of paid sewerage services and community mobilization for swm were achieved under the capp. the investment program performance and management system (ippms) consultants monitored program implementation at the baseline, midterm, and end-term.",ensuring project readiness prior to contract awarding fosters the efficient and effective implementation of projects.   
"the original loan closing date of 30 june 2014 was extended twice by 1 year each, followed by another two extensions of 6 months each (i) to optimize loan utilization by awarding additional contracts (in 2013 and 2014) to use the additional funds available as a result of the appreciation of the united states dollar, (ii) to enable the completion of works, and (iii) to complete re-tendered and slow-moving contracts. the project had no significant start-up delays, which reflects the state’s preparedness at appraisal, as requisite lands were identified for stps (except sikar [paras. 7 and 11]) and other facilities, permission was obtained from the concerned authorities for bridges over river, and detailed project reports were prepared. ipmu’s capacity for implementation and interdepartmental coordination led to the smooth execution of utility shifting and timely issuance of necessary permissions and clearances. however, contract duration affixed for water supply and wastewater works was ambitious considering that works were in existing unplanned towns and needed to be executed without undue disruption to service delivery and traffic movement or public inconvenience (para. 22). by loan closure on 30 june 2017, only six of the 57 contracts were ongoing and these were completed using gor funds (paras. 22 and 38). all contracts were completed at the time of the project completion report mission (appendix 6).",ensuring project readiness prior to contract awarding fosters the efficient and effective implementation of projects.   
"the project’s implementation arrangements proved appropriate to achieve the envisaged outputs. the arrangements comprised the local self government department, gor as the executing agency; a state-level and interministerial empowered committee; a works finalization committee chaired by the principal secretary for urban governance; the ipmu as the implementing agency for rusdip headed by the project director; ipius in each project town; and city-level committees, which also functioned as grievance redress committees, chaired by district collectors. the ipmu and ipius were assisted by the ipmc, three dscs, the capp, and ippms consultants (para. 16). the project assets, once developed, were handed over to line agencies and ulbs for o&m, including the management of extant o&m contracts. water supply assets are managed by the public health engineering department (phed) while major roads and transport assets are managed by the public works department (pwd). ulbs manage wastewater, drainage, internal municipal roads and streetlights, and swm.",ensuring project readiness prior to contract awarding fosters the efficient and effective implementation of projects.   
"the overall performance of the borrower and the executing agency is rated satisfactory. the borrower, represented by the government of india’s department of economic affairs, provided timely guidance and decisions to gor on the project and undertook regular tripartite review meetings with adb, the gor, and the ipmu, which helped identify bottlenecks, resolve issues, and monitor progress. the gor provided strong support to the ipmu, including timely counterpart funding (including funds to complete spillover works after loan closure) and adequate human resources throughout the project period. however, the financial management performance of the borrower and the executing agency is rated less than satisfactory, as audit shortcomings persisted over the years and separate project accounts were not maintained by the ipmu (paras. 25 and 26). the ipmu established project implementation procedures for planning and implementation early in the project cycle. it also established effective monitoring and implementing mechanisms through ipius in each project ulb, headed by executive engineers. this helped in interagency coordination, monitoring, and progress reporting from the field, and strengthened the information flow to adb and the project ulbs. the ipmu exhibited strong leadership with the placement of senior officers from the state government in its management, which helped in change management—critical for the implementation of reforms. the contract periods estimated by the ipmu for water supply and sewerage contracts were ambitious and led to contractors exceeding implementation milestones (paras. 19 and 22). although the ipmu spent considerable time and effort on managing arbitration and other legal issues in the absence of techno-legal personnel, the ipmu was effective in managing the overlapping policy, regulatory, technical, administrative, and financial management aspects of project implementation, including safeguard compliance.",ensuring project readiness prior to contract awarding fosters the efficient and effective implementation of projects.   
"""",ensuring project readiness prior to contract awarding fosters the efficient and effective implementation of projects.   
"the project experienced inordinate delays in all countries, many of which were due to the prolonged initial process for agreeing on the overall implementation arrangements, governed by three layers of multilateral, bilateral, and in-country agreements. the specific delays were in signing (i) the multilateral agreement for the overall framework of cooperation with respect to implementation of the project;23 (ii) the agreements between the executing agencies and the incountry service agencies;24 (iii) six bilateral interconnection agreements to set the terms and conditions of interconnection;25 (iv) in-country memoranda of understanding (mous) between the executing agencies and the rtcs;26 (v) rtn partnership agreements for village network portal development and distance learning courses; 27 (vi) service agreements for the fund flow mechanism between rtcs and the ta consultant; and (vii) service level agreements between cecs and rtcs prior to rolling out the distance learning courses and the village network portal.",project design should consider all the factors that can affect implementation.
"other delays related to (i) the selection and fielding of the project management consultants (pmcs);29 (ii) the preparation of the design and bidding documents for the regional and village networks, and the signing of works contracts in the project countries;30 (iii) the procurement of multiple works contracts for system development, supply, and installation of equipment for the regional and village networks;31 (iv) the securing of border crossing approval from the agencies concerned for connectivity between bangladesh and india;32 (v) approvals by the executing agencies coupled with the poor performance of contractors and consultants;33 (vi) political unrest in 2013 in bangladesh; (vii) major earthquakes in nepal in april and may 2015; (viii) hartals and general strikes in bangladesh and nepal; (ix) a blockade at nepal’s border with india and a shortage of fuel;34 (x) the securing of permission from the department of roads in nepal to lay the underground optical fiber involving digging the right of way and some part of the newly constructed road;35 (xi) poor workmanship, repetition of works by contractors, and a lack of supervision in nepal;36 and (xii) executing agency approval for contract variations and making payments to contractors and consultants",project design should consider all the factors that can affect implementation.
"the project is rated relevant at appraisal and completion. the project’s formulation was aligned with the governments’ development objectives, adb’s development strategy for regional cooperation in general, and the ict subsector in particular, both at appraisal (para. 4) and completion (para. 6). while the project’s design was relevant at appraisal, the very rapid changes in the ict sector globally and in sasec countries during implementation was beyond the control of the project. the number of fixed broadband subscriptions increased five times and mobile cellular subscriptions three times in south asia from 2007 to 2012. 42 during that period, bangladesh and bhutan both recorded an annual growth rate of 69% in broadband subscriptions, and in nepal it was 84%. the annual growth rate in mobile subscriptions was 23% in bangladesh, 30% in bhutan, and 38% in india. the project was not designed to fully adapt to these rapid advances, as exemplified by the implementation arrangements (paras. 8, 9 and 35) and the flaws in the dmf (para. 9 and appendix 1), and this was compounded by the significant delay in implementation. moreover, the project design was not guided by detailed demand analyses and instead assumed that all the internet data traffic that was exchanged through very small aperture terminals (vsat) at the time would switch entirely to the regional network. further, for the rtn, the needs of the potential users were not adequately reflected in the design of the courses (para. 58).43 this could be attributed to the project’s modality whereby the rtn component was scoped out of the rest of the project in the form of a ta project, limiting coordination with the village network. nonetheless, the innovative and pioneering nature of the project, which aimed at facilitating the integration of information, knowledge, and ideas across sasec, should be highly commended. the objectives of the project remain relevant since the provision of stable, affordable and inclusive internet connection, especially in the most remote and rural areas has not been achieved fully in the sasec countries and remains a key for inclusive development. the innovative and transformative nature of the project is highly aligned with adb’s strategy 2030, which emphasizes promoting innovative technologies and integrated solutions for building the potential for adb’s value addition",project design should consider all the factors that can affect implementation.
